texto,labels
"	Desde os séculos passados [vírgula] o ser humano se vê influenciado por algum tipo de padrão imposto pela sociedade. Hoje, na era da globalização, isso está ainda mais evidente. Com as revistas, novelas, séries, filmes, desenhos animados e as várias campanhas publicitárias que circulam na mídia, o homem está cada vez mais consumista, vaidoso e padronizado.	Os sinais começam a aparecer já na infância, quando as crianças, frequentemente expostas a videogames e a Televisão, apresentam mudanças de comportamento; algumas se tornam agressivas, ansiosas e a grande maioria, compradoras incansáveis.	Nos anos que se seguem a situação piora, aparecem as preocupações com o corpo, com a moda, com a imagem que se passa para o mundo. Essas reações são normais para qualquer individuo na sociedade atual, mas quando essa preocupação é exagerada nota-se claramente a influência da mídia na vida dessas pessoas. É quando se tem a necessidade de andar com etiquetas de grifes e até de parar de se alimentar para conseguir o corpo perfeito.	A evolução dos meios de comunicação tem sido muito útil, as possibilidades são quase ilimitadas, mas devemos saber aproveitar todas essas comodidades e não deixar que essa tecnologia faça de nós algo comum. Afinal, cada ser é unico, tanto no aspecto físico quanto intelectualmente .",2
"	07 de Abril de 2011. Data em que ocorreu um atentado que chocou o nosso emergente país, esse tipo de crime até então só acontecia em países desenvolvidos. Nesse triste dia,Wellington Menezes de Oliveira entrou em uma escola municipal no bairro de Realengo, no Rio de Janeiro, e efetuou disparos contra os alunos, matando 12 deles. O massacre foi interrompido graças a um Polícial Militar que estava nas proximidades do local, o mesmo foi avisado do ocorrido por um aluno ferido que fugira. O caso repercutiu na mídia e várias discussões em relação a segurança das escolas foram levantadas. Afinal qual é a providencia a ser feita para aumentar a segurança nas escolas ?	Em minha opnião, medidas de segurança como detectores de metáis são fundamentais. Escolas de suburbios americanos já possuem esse equipamento, por que o Estado com o segundo maior PIB do nosso país ainda não comprou esses aparatos ?	Fui formado pelo ensino público e depois entrei em contato com escolas particulares.Logo notei a diferença de infraestrutura entre as escolas. O que me chamou a atenção é que as escolas privadas possuem orientadores formados em psicologia. Se as escolas públicas, se a Escola Municipal Tasso de Silveira possuisse esse tipo de profissional talvez o massacre poderia ter sido evitado, pois um psicologo teria detectado os problemas de Wellington. Mas não vou me basear em impoteses, essa é outra medida que precisa ser tomada já.	Outra medida simples adotada pelo Canadá seria o treinamento dos alunos para esse tipo de situação, láem caso de tiroteios os estudantes matem a calma e usam suas mesas para bloquear as portas deixando o criminoso isolado nos corredores e sem alvos.	São várias as medidas a serem tomadas, o Estado deve aumentar a segurança nas escolas, afinal, está escrito no ECA; Artigo 7.",2
"	Com o avanço tecnológico, a mídia tem conseguido, cada vez mais, atingir os lares e influenciar no comportamento da sociedade. Em outras palavras, os formadores de opinião são capazes de introduzir hábitos, cultura, modo de pensar e agir, mas tal ato possui alguns riscos.	Atualmente, tem sido constatado, por órgãos de pesquisa, que, a cada ano, um número maior de pessoas tem acesso à informação, principalmente pela televisão, rádio e Internet. Com isso, a Imprensa, parte da mídia, com seus ancoras [âncoras] e repórteres de plantão têm abordado uma série de assuntos e acabam se tornando formadores de opinião. Ainda convém lembrar, [sem vírgula] que através das redes sociais [ vírgula] o cidadão comum já se transformou em um formador de opinião, pois a sua opinião ou artigo pode ser lido por milhares de internautas, mudando, assim o comportamento dessas pessoas.	Além disso, cabe destacar a forma com que a mídia influencia positivamente na vida das pessoas [ vírgula] como a informação é, também, uma arma na mão de alguns segmentos sociais. Desse modo, pode-se destacar, por exemplo, uma empresa de cigarros que associa o uso do produto ao poder, práticas esportivas e ascensão social. Muitos indivíduos serão influenciados e passarão a usar aquela marca de cigarro. Seguem os mesmo pensamento, anúncios vinculados ao consumo de bebidas alcoólicas, músicas com apologias à violência e hábitos alimentares.	Em suma, existem inúmeros riscos de influência da mídia no comportamento da sociedade[ vírgula] por isso, cabe a cada um filtrar as informações que poderão invadir seus lares e a presença da Esfera Governamental, com o intuito de coibir a chamada “banda podre”, isto é, proibindo a exposição de conteúdo impróprio com os mecânicos de censura. Logo, o importante é não fechar os olhos para os riscos, permitindo, assim, uma melhora no comportamento social de inúmeros grupos sociais.",3
"	As relções [relações ]sociais, [sem vírgula]de forma virtaul [virtual] , [sem vírgula]tem se popularizado cada vez mais no mundo atual. Essa fato, [sem vírgula]pode proporcionar socialmente o sentimento de inclusão, porém nem sempre são bénéficos ao cidadão.	A internet facilita o dia-a-dia [dia a dia] do homem, ela possibilita o acesso democrátivo e em tempo real. Por meio dos sites de relacionamento, como por exemplo: orkut, twitter e facebook é possivel interagir de forma global, independente da classse social.	Por outro lado, o usuário em alguns casos não tem consiência dos riscos inerentes ao uso da internet. Constantemente é mostrado nos meios de comunicação vários crimes cometidos por meio da rede, bem como crianças e jovens que são vítimas de caber buling [ciberbullying] nas redes sociais.	É preciso que sejam criadas políticas públicas voltadas a [à] criação de leis rígidas e pena severa para quem comete crimes virtuais. Além disso, a família e escola são ferramentais fundamentais na consiêntização [conscientização] de criaças e jovens.",1
"Negros foram discriminados durante décadas, e o governo no intuito de amenizar o sofrimento causado no passado, cria leis em que deve existir reservas de vagas para negros.Não seria nada justo a existencia de cotas, além de haver uma descriminação racial, contra a sociedade de ""cor"", não estaria agindo corretamente, contradizendo que “todos são iguais perante a lei"".Muitos, não toda a sociedade, acreditam em uma forma, que é de fato justa e merecida, é a vaga para negros, pela abundançia de preconceitos sofrido e até mesmo exercido na atualidade, em escolas, mercados, bancos, enfim concientização é o que nos falta para isto melhorar.Agir com razão e sabedoria seria amelhor forma de mudarmos,diferente de raça ou cor temos a mesma capacidade, somos seres iguais de carne e osso, não há necessidade de cotas, o estudo é a unica forma de nos diferenciar.Régis",1
"	A educação é uma dádiva que todos tem o direito de ter.Ela é fundamental para o ser humano,pois através dela aprendemos o certo e errado,aprendemos a respeitar e sermos respeitados,o que é muito importante para manter-se o convívio e diminuir a violência.		Primeiramente,a educação deve vim [vir] dos pais,pois estes são espelhos para os filhos.Se um pai precisa bater em um filho para acalmá-lo,ele está mostrando ao menino que algumas coisas só são conquistadas através da violência e não do diálogo ou repreensão.		De acordo com a Lei da Palmada,é proibido o uso de castigos corporais em crianças e adolescentes.		Muitos podem não concordar com a ideia de o estado interferir no modo de criação dos seus filhos,mas é importante salientar que é papel do estado acabar com atitudes que possam prejudicar o desenvolvimento da sociedade.		Segundo Darwin,o individuo [indivíduo] é determinado pelo meio em que vive.Se uma criança ou adolescente convive com pessoas violentas,a probabilidade dela se tornar violenta é muito grande.Por isso,é importante [que] os pais não praticarem atos violentos contra os filhos.		Em suma,vivemos numa sociedade em que a violência cresce surpreendentemente,e, [sem vírgula] é papel do estado tentar reduzir esse número,por isso devemos compreender algumas de suas atitudes.E também precisamos investir na educação,pois só através dela, diminuiremos tanta violência e alcançaremos o desenvolvimento da sociedade.",2
"	Agora a coisa está ficando seria [séria] , pois além das entrevista de emprego , as impressas [empresas ] estão ficando mas [mais] espertas, agora são contratados detetive [detetives] , para verificar como anda o comportamento de seus futuros funcionários.	Hoje [vírgula]  a maioria dos indivíduos ,[sem vírgula] não conseguem deixar de estabelecer um vinculo [vínculo] com qualquer endereço virtual , e os mas frequentados são as redes sociais.	A parti [ A parte, ]os detetives começam a fiscalizar seus históricos da internet, seus comentários, fotos e entre outros itens que venha a comprometer seu perfil curricular.	Portanto [vírgula] devemos ter cuidado, [senm vírgula]com o que postamos ou comentamos na redes , pois além [de] se prejudicar você numa seletiva, tem pode lhe comprometer em assuntos que não são verdadeiro [verdadeiros] , apenas postou para a curtição virtual.	Lembra que redes sociais não são , [sem vírgula]revistas adultas , evite publicar fotos com pouca roupa, comentários falando que você tem manias, seja ela qual for, procure escrever de forma coerente, com uma gramática precária, não use palavrões ou qualquer tipo de xingamento, não procure participar de movimentos de greve ou protesto e principalmente não fale nada sobre seu antigo emprego.	Além de uma boa impressão ,que você pode ter deixa na entrevista, deixe lá ainda melhor nas páginas na internet, pois terá uma grande chance de melhorar sua impressão com relação a impressa, e terá grandes oportunidades na vida .",4
"	A leitura no mundo atual vem sendo motivo de barreira em nossa sociedade, pessoas de todas as faixas etárias estão dispensando a leitura, o motivo [os motivos] são vários, mais [mas] a tecnologia entra em primeiro lugar na causa.	Ler é essencial, pois a leitura e [é] muito exigida,além de ajudar o conhecimento, a ter um bom dominio a ligua [domínio da língua] portuguesa [vírgula] entre muitos outros fatores.	As consequências [vírgula]  lógico [vírgula] serão muitas, porque as pessoas deixando de lêr [ler] , não será capaz [serão capazes] de interpretar, escrever em forma culta, será incapaz de ter um dialogo [diálogo] formal, até mesmo incapaz de se apresentar a uma entrevista de emprego,ou até mesmo ter relacionamentos.	A solução eficaz séria de maneira que as publicidades, escolas e instituições, e exclusivamente os pais,retratasse [retratassem] a leitura como uma forma agradável e complementar para o enrequecimento [enriquecimento] do conhecimento, é colocando mais exemplos de pessoas prejudicadas pela falta de leitura.	Por conseguinte [vírgula] a leitura é capaz de forma uma pessoa para a vida, além de ser uma forma fácil, é muito agradável, Ler e [é] fundamental para o conhecimento.",1
"	Atualmente vivenciamos um cotidiano diferente dos que nossos pais tiveram. Tudo está mais tecnológico, mais ‘’fácil’’, ou seja, estamos mais acomodados com essa facilidade e não conseguimos viver sem. Os antigos e tradicionais hábitos estão entrando em extinção. Um dos principais exemplos dessa realidade é a falta de leitura dos jovens, seja de livros conceituados e clássicos até os antigos gibis. Mas será que essa preocupação toda tem fundamentos ou é um grande exagero? No Brasil [vírgula] este problema já está afetando a população e gerando o empobrecimento da cultura do nosso país. Vemos cada vez mais pessoas que não sabem escrever de uma forma correta pelo fato de não terem o costume de ler e conseqüentemente [consequemente] não possuem vocabulário, não conseguem se expressar. Isso acarreta na declinação de um futuro mercado editorial atingindo toda sociedade. Não esquecendo que o cidadão que não possui este hábito vê as situações de uma forma menos crítica, com uma visão menos favorecida, sem conhecimento, em relação á [a] pessoas cultas, interadas com o mundo. A questão é que não é fácil fazer com que todos se conscientizem com a nossa realidade e de uma hora pra outra comecem a se instruir com a leitura, a tarefa é difícil. Isso teria que começar na educação, desde criança, mas nunca é tarde pra começar. Primeiramente temos que tentar e aos poucos colocar os livros em nossa rotina. Começarmos com temas que gostamos, sem muita pressa,e assim pegarmos gosto e passarmos a ler com prazer.",1
"	Em prol de seguir um modo [aspas] shopping [aspas] de se viver [vírgula] a sociedade procura se basear no estilo da mídia que acaba ditando a ""moda"". O consumo desenfreado gerado pela mídia através das propagandas, atinge principalmente os adolescentes, pois essa fase da vida nunca está satisfeita consigo, logo tendem ter o objetivo de melhorar e conseguir a vida perfeita. A padronização da sociedade é de grande interesse da mídia, considerando-se que uma massa uniforme é muito mais fácil de ser conhecida e assim manipulada para o modo de vista capitalista.	Em 2005, o estado da Califórnia aprovou uma lei que proibia a venda e aluguel de videogames violentos a menores de 18 anos e requeria um rótulo de advertência no pacote, além do cartão informando a classificação etária do produto. Estudos afirmam que os videogames, programas, filmes entre outros violentos, podem causar danos aos menores de idade. Para ganhar esses jogos, a pessoa deve aprender a lutar pela sobrevivência, aprendendo a matar e a agredir. Estabelece-se assim um quadro mental de agressividade, pois a criança vai colocando em sua memória cenas dramáticas de violência e acaba por transferir esta agressividade para suas relações humanas, nos grupos que frequenta. Mesmo que compreendam bem a fantasia dos jogos e vídeos, terminam por imitar as ações dos personagens, reproduzindo a violência da mídia em suas vidas.	O pensamento em questão acaba por interferir também na agenda da sociedade, que acompanha a mídia àquilo que lhe é de interesse. Então, este meio de informações pode ofuscar temas que deveriam ser discutidos por todos os cidadãos e pode prevalecer outros que não deveriam ser levados em questão no momento, como a moda e os cosméticos, por exemplo.	Clonclui-se que o poder da propaganda, junto às sociedades capitalistas [vírgula] aonde [em que] os valores se perderam e as pessoas são consideradas pelo poder aquisitivo, se fundi [fundem] cada vez mais sobre o pensamento global e não visa [visam] um desenvolvimento sustentável.",2
"O trote universitário é como uma cerimônia de passagem para festejar a aprovação no vestibular, realizada por veteranos, cujo objetivo é a interação dos calouros. Os mais comuns como raspar o cabelo, banho de lama, pedir dinheiro, pintar o rosto são até bem aceitos pelos novos universitários.Ocorre porém, que alguns veteranos parecem aproximar-se do irracional exagerando nas brincadeiras e expondo os calouros ao ridículo, obrigando estes a ingerir bebida alcoólica, ficar amarrado, ser humilhado, apanhar, usar produtos químicos e até se submeter a cenas de erotismo.Tal situação faz com que  os famosos “trotes”  acabem se tornando crimes, devendo por sua vez serem controlados através de uma punição severa para quem cometer tais violências, abusos e maldades.A conscientização dos atuais acadêmicos se deve às Universidades no sentido de educá-los, adotando novas ações, novas atitudes.Não podemos aceitar práticas intolerantes e humilhantes que se repetem  ano a ano.É necessário despertar nos veteranos e calouros uma nova forma de integração, acompanhada de consciência social e participação ativa.Através de campanhas algumas instituições têm estabelecido os “trotes solidários”, onde os calouros participam de atividades sociais, culturais e esportivas, trocando a violência por atos beneficentes.Tais atividades promovem ações voluntárias que incluem doação de alimentos, doação de sangue, arrecadação de brinquedos, roupas e livros para serem ofertados a entidades educativas.Sem dúvida, essa é a melhor forma de boas-vindas aos novatos, pois ser bem recebido em uma Universidade, da qual você estudou tanto para conseguir a tão sonhada classificação é com certeza a forma mais prazerosa de comemoração.",2
"Desde a Revolução Indústrial na Inglaterra, as pessoas possuiam uma elevada jornada de trabalho e um péssimo sálario, trabalhando em situações precárias e exploradoras. Após várias revoluções e manifestações o trabalhador conseguiu reivindicar seus direitos e conquistando assim um salário e jornadas adequadas. Atualmente o emprego formal não possui um número tão elevado de horas trabalhadas, isso demonstra que o desemprego no Brasil não é causado por esse motivo, mas sim por falta de qualificação das pessoas, pois muitas vezes vemos empresas com dificuldades para contratar, tendo assim muitas vagas disponiveis no mercado.Observa-se que diminuindo a jornada de trabalho de 44 horas para 40 horas, provavelmente as empresas sairão em prejuízo, pois não serão todas que poderão contratar o numeros de trabalhadores necessários para suprir as demandas, e muitas vezes as firmas irão utilizar de outros meios, sem ser as novas contratações, como por exemplo o uso da tecnologia, com a compra de novas máquinas.  Portanto, com a redução da jornada de trabalho quem sairão perdendo como sempre são os menos favorecidos, pois com a compra de tecnologia, as empresas consequentemente procurarão por pessoas qualificadas para utilização das máquinas, mantendo assim o desemprego.",1
"Prezado senhor ministro,Estamos passando por um momento turbulento no que diz respeito à violência infantil. O caso Nardoni ganhou grande repercussão na mídia e, como consequência, trouxe a mobilização popular.É triste ver que, em nosso país, um caso como este demora dois anos para levar os criminosos à cadeia e, como se já não bastasse, a defesa do casal ainda encontra uma brecha na lei que pode prolongar tudo ainda mais. Será que já não foi desgastante o suficiente para a mãe esperar tanto tempo para ver os culpados na cadeia? Será que já não está mais do que provado quem cometeu o delito?Por isso, venho pedir, encarecidamente, em nome de toda a população brasileira, que vossa senhoria não conceda mais uma chance ao casal. Tudo que todos querem é ver justiça. É preciso um braço firme para não encorajar os criminosos em potencial à cometer seus delitos.Creio que, nesse momento, dar mais uma chance ao casal, também traria um grande problema de ordem pública: a mobilização popular, revoltada com uma possível impunidade ao crime. Um caso como este mexe psicologicamente com a população, o melhor a fazer é manter a condenação. Creio que o senhor tomará uma decisão sensata.Atenciosamente, assinatura",3
"É chegada a fase da vida bastante esperada pelos jovens e temida pelos pais,afinal é o momento de formulação e organização das ideias dos jovens, porém eis a questão:aos quinze anos um adolescente já está preparado para ter sua primeira relação sexual e adquirir de vez a responsabilidade?O sexo antes de ser feito tem de ser bastante discutido e esclarecido entre os parceiros e família,para que no auge da transa na haja lamentações ou frustrações e que seja um momento inesquecível feito com cautela,segurança e confiança em ambos,afinal o sexo prazeroso depende de quem o faz.Muitos jovens aos quinze anos estão mais maduros e bastantes responsáveis para enfrentar o dia-a-dia do que nossos pais na época de adolescência,porém quando se trata de sexo a conversa muda de rumo,já que muitos deles não estão tão aptos ou confiantes a fazê-lo apesar de uma certa maturidade. Muitos são os conselhos fornecidos,contudo a ""teoria"" só é válida quando posta em prática.É um direito de todos a sexualidade e tem que ser vivida de forma plena a partir do momento que deixar de ser um teste e passar a ser feita como uma troca de afeto e carinho. Deve ser feita com intenção,momento,lugar e pessoa desejados,levando em consideração a maturidade e a segurança dos parceiros que serão adquiridas.",1
"	Nos últimos anos, o que mais vemos é o aumento da corrupção e do recebimento de propina, que vem tomando conta do nosso sistema político.	O Brasil vem enfrentando diversos escândalos, por reger leis brandas e que favorecem os políticos, tornando mais fácil essa ação de quem deveria estar representando o país e sendo exemplo de boa conduta para a sociedade.	Sabemos que o ser humano possui uma cobiça natural pelo poder e riquezas, então deveríamos fechar as brechas, tanto na lei como no sistema que dizemos ser democrático, para que o dinheiro público seja aplicado na manutenção e desenvolvimento do Estado.	Está se tornando assustador e vergonhoso para a nação, tantos casos de esquemas de fraude envolvendo governantes, fazendo os brasileiros se sentirem desamparados, pois aqueles que têm a obrigação de zelar pela nação, ajudam a prejudicá-la.	O povo está cansado do enfado pesado dos impostos, sem obter melhorias em suas condições de vida, e ainda ver aqueles que defraudaram os cofres públicos, saindo impunes como se nada tivesse acontecido, acobertados por uma lei falha e[vírgula] muitas vezes [vírgula] injusta.	Devemos apoiar projetos de limpeza da imagem política brasileira, como a lei da ficha limpa, e também no sentido de punir esse crime, bem como conscientizar a população sobre a seriedade das eleições e incentivar a participação política, para podermos um dia se orgulhar dos nossos governantes e viver em um sistema onde a democracia impera totalmente.",1
"	Com o mundo se globalizando .[vírgula] A velocidade com que as informações chegam até nós não são mais um problema . Contudo [vírgula] a mídia está se tornando uma ferramenta essencial para sociedade , mas será que está ferramenta pode estar de alguma forma influenciando no comportamento de uma sociedade[?]	Segundo pesquisas de uma universidade dos Estados Unidos , pode comprovar-se que nas crianças , que assistem várias horas de televisão por semana tendem a ter um comportamento mais agressivo quando adultas . Esta pesquisa também verificou que nos programas que contêm violência 75% dos criminosos ficam impunes ao crime que cometem[ . ]	Porem [porém][vírgula]com todo esse problema , que pode ser gerado pela mídia [vírgula] os que mais podem sofre[sofrer] com isso são as crianças que estão em fase de começar a escolher seu futuro e também a formar seu pensamento critico da sociedade [ . ]	Uma das maneiras de tentarmos impedir isso [vírgula]esse problema [vírgula]é com a criação de leis mais severas quanto a [à] exibição dos programas[vírgula] [mas] mais também não podemos esquecer que também tem que ter os limites dos pais [à] a respeito das horas de assistir televisão , e do horário que devem assistir[ . ]",1
"   Normal  0  21                     	O Brasil merecia! O Brasil conquistou! 2014 é o ano em que o país receberá um dos maiores eventos esportivos do planeta: a Copa do Mundo. Esse será um período no qual a atenção da mídia internacional estará voltada ao país e com um bom desempenho, mostra de competência e seriedade pode ser feito um excelente marketing ao exterior.  O solo brasileiro sendo bem-visto, quebrando a imagem de país violento e atrasado que muitas vezes é imaginado em outras partes do mundo irá atrair capital produtivo estrangeiro que pode ser usado na construção de indústrias, compra de equipamentos e até mesmo na especialização da mão-de-obra. Muito se questiona sobre as cifras bilionárias que serão gastas pela União com o evento, mas assim como um investimento num branco, esse dinheiro terá retorno a longo prazo. Os benefícios para a população não ficam somente em números, uma vez que muito será investido em infraestrutura e segurança pública no país. Ainda seguindo a linha do retorno financeiro o Instituto Brasileiro de Turismo  o Brasil irá receber em 2014 cerca de 500 mil turistas que irão gastar com hospedagem, transporte, alimentação e demais itens, injetando dinheiro no país, fazendo circular maior volume de moeda o que é bom para a economia nacional. Com as lentes do mundo voltadas para o Brasil e governantes sérios e compromissados com nossa pátria, iremos promover nosso país lá fora, dando um salto rumo ao desenvolvimento..",1
"O planeta vive um período de extremo contraste, onde se avança muito na tecnologia, mas permanece retrógado em relação a proteção do meio ambiente.Para evitar o fim drástico do planeta ou mesmo das belezas naturais a qual conhecemos, teriamos que mudar uma série de estruturas que estamos habituados, entre elas o forte sistema capitalista que visa sem se preocupar com a natureza a grande produção de mercadorias e o consumo desenfreado.Em uma sociedade em que o novo é essencial e respresenta status, a compra de hoje logo é o lixo de amanhã,  além dos materias frágeis que não duram o tempo que deveriam durar, tudo parece ser programado para virar lixo em pouco tempo, tendo assim o aumento do consumo e o lucro como principal objetivo.Como a natureza caminha de forma lenta tudo se resume a uma disputa desleal entre natureza e tecnologia, onde o problema é que não há vencedor, e sim um único perdedor o homem.As muito discutidas leis de diminuição da emissão de gases poluentes devem ser cumpridas, o desmatamento ilegal da natureza deve ser banido e os envolvidos julgados de forma severa, ou seja, de uma forma diferente da qual vemos em nosso Brasil.Assim como o sistema capitalista grande prodrutor de lixo deve rever seus conceitos para uma melhor interação com a natureza.Se não houver um basta em todo esse sistema que caminha  para o fim das espécies, o mundo não se salvará, mas ainda há esperanças, vamos mudar o mundo.Rafa",2
"	Brasil é um dos países mais corruptos do mundo. A corrupção está cada vez se tornado um dos problemas que mais necessita de um olhar diferente, visando à melhoria da sociedade.	A política é um dos exemplos mais explicito[s] de corrupção, as pessoas nas quais escolhemos para governar, ficam obcecadas pelo dinheiro, deixando de trazer melhorias para a população, por pensar apenas em sua própria riqueza. Deixando de investir em educação, saúde e segurança, provocando assim ações banais das pessoas que não tem outra opção de encarar a vida, optando por um meio indevido, como [vírgula] por exemplo: assaltos.	Um dos fatores que está aumentando o numero [número] de pessoas corruptas é o capitalismo no qual estamos vivenciando, é por meio dele que o ser humano se sente na necessidade de utilizar o dinheiro do povo, para investir em si, evitando ficar para trás neste mundo tão globalizado. O capitalismo faz com que se pense totalmente diferente, por isso a violência em nosso país não para de crescer.	O efeito de corromper está ligado a [à] falta de impunidade de nossa sociedade, pessoas roubam a todo momento e nada é feito para reverter as regras desse jogo. Aqueles que passam por qualquer tipo de constrangimento por causa desse tipo de ação, não recebem as devidas punições e quando bem recebem conseguem sair com a ficha limpa.	Para que possamos viver em um mundo mais digno, é necessário que haja uma mudança quase que impossível em nosso país, pois os principais causadores desses tipos de situações são as pessoas que nós mesmos colocamos no poder. Portanto [vírgula] devemos repensar, e uma pergunta fica sem resposta, existe alguém no qual podemos confiar na hora de eleger para nos representar? É [vírgula] parece que não. Assim torna difícil de chegar a um denominador comum.",1
"	Não é novidade que nosso governo adota medidas paliativas para lidar com os problemas de nossa sociedade, e, não seria diferente, quando tratamos da recente criação do Poder Legislativo, a Lei da Palmada.	Houve tempos em que o ""Toque de Recolher"", Lei que restringia os jovens de circular pelas ruas durante a noite, foi encarado como uma solução para os problemas de criminalidade, no entanto, de acordo com pesquisas, esta Lei não atingiu o objetivo, apenas mascarou temporariamente o problema.	A grande dificuldade do estado em garantir o cumprimento deste tipo de Lei é a impossibilidade de fiscalizá-la, tal fato faz com que se desencadeie um processo de descumprimento progressivo da Lei pela sociedade, ou seja, a Lei [vírgula] à [em] longo prazo [vírgula]é tão desrespeitada que ""deixa"" de existir.	Um passo necessário para evitar que os propósitos da lei sejam esquecidos e caiam em descumprimento total é aliá-la à educação, tal ação não somente reforçaria o interesse do governo em aplicar a Lei mas também, daria meios para a sociedade praticá-la.	Alguns problemas, como o índice de Natalidade, estão sendo tratados com educação, são realizadas campanhas anuais onde a sociedade é instruída. A Lei da Palmada poderia ser tratada de maneira semelhante, pois a sociedade ainda não está preparada para esta mudança; os pais não mudarão seu modo de educar radicalmente, pelo menos não com qualidade, não sem instrução.",1
"	Educar os filhos não é uma tarefa fácil, pelo contrário, é algo bastante delicado que exige dos pais paciência e tempo. O governo brasileiro apresentou um projeto de lei em 2011 contra a palmada, seu objetivo é coibir a prática de castigos corporais em crianças e adolescentes. Atualmente trinta países, como por exemplo, a Suécia, possuem leis que proíbem pais de bater em seus filhos.		Segundo o dicionário Aurélio, agressão é ataque violento e intempestivo; insulto. Muitos acreditam que uma palmada, um chacoalhão ou puxão de orelha é uma agressão, e que pode gerar trauma e influenciar o comportamento na fase adulta. Porém, outros contrariam este pensamento dizendo que apanharam durante a infância e que hoje são pessoas decentes e educadas.		É normal uma criança desobedecer e desafiar as regras, essa é uma fase do desenvolvimento infantil de conhecer o mundo e de testar até que ponto podem ir. A violência não é a melhor saída, educar é se dedicar, ser persistente e impor limites. Portanto, há outras medidas que podem ser tomadas para repreender o comportamento inadequado dos filhos, como o diálogo e o castigo, que tem como objetivo mostrar o que eles fizeram de errado e quais serão as consequências.		Para os que querem realmente cumprir a tarefa como educadores de seus filhos há alternativas de correção sem precisar fazer uso da força. Além de medidas como o diálogo e a perda de privilégio, os pais precisam ser exemplo para seus filhos, e isto é considerado a melhor forma de educar. Contudo, leis como essa devem ser criadas para interferir nas atitudes de pais que abusam de suas autoridades, e para conscientizar que o respeito, o carinho e a disciplina sejam prioridades em meio familiar.",3
"	A aprovação do reconhecimento da união estável entre casais do mesmo sexo abre um novo cenário para a sociedade brasileira, em que a comunidade homoafetiva ganha uma valorização maior e a igreja evangélica enfrenta o desáfio de reevaluar e justificar suas crêencias sobre a homosexualidade. Neste cenário1 entrarão com tempo novos debates como a adoção de filhos, além da legislação já proposta para criminalizar a homofóbia.	Porém, os direitos de pessoas a seguir sua orientação sexual não podem simplesmente anular a liberdade religiosa, valor igualmente essencial para uma sociedade democrâtica e tolerante. Quem crê que sua religião proíbe a homosexualidade deve ter o direito de falar e pregar disso, a menos que permite à quem pratica a homosexualidade os mesmos direitos. Nos dois lados do debate, deve-se gozar da liberdade de poder apresentar o seu caso e seguir as suas crêencias sem sofrer discriminação ou outro tipo de prejuízo como resultado. Por isso1 qualquer legislação em contra da homofóbia precisa assegurar a liberdade de expressão e a liberdade religiosa.	Ainda existe a possibilidade que tais diálogos levariam à um entendimento maior entre estes grupos hoje tão divididos, porque o respeito mútuo é o primeiro passo para a amizade. Ou, tomando uma frase famosa do francés, de liberdade e igualdade nasce a fraternidade.",1
"	A frase célebre do escritor Monteiro Lobato: ""Um país se faz com homens e livros"", parece esquecida pelas pessoas e governantes, devido a atual conjuntura em que o Brasil está sendo feito de corrupção, maus políticos, violência e medo. O descaso das escolas em relação a [à] formação de leitores e o desinteresse pela leitura agrava o problema.	O hábito de ler é dificuldade nacional. A cada dia o número de leitores críticos na sala de auala [aula] diminui, e de educandos que desempenham a obra e prática da leitura com deleite. Ela é feita de modo coercivo, e que acaba com a grandeza, magia e o prazer da leitura.	O Brasil é a nação que menos produz leitores: dados da CBL-Câmara Brasileira do Livro- mostram que o brasieleiro [brasileiro] lê 1,8 livros por ano. O problema não é o valor do livro, existe vários meios de se conseguir um exemplar, e sim, o não costume de exercitar o hábito de ler.	Piaget diz que é na adolescência que o ser humano tenta dominar os elementos que lhe faltam para a vida adulta. Ele defende a leitura como ponto de partida para uma vida adulta normal, prazerosa, na convivência com a sociedade. É na infância que a criança aprende a fazer suas escolhas, uma boa leitura vai lhe dar sustentabilidade.	É preciso que a família e a escola trabalhem em conjunto. Um simples gesto transformador- é o de contar uma história, mostrar o caminho da literatura e transformá-lo num leitor. A leitura deve ser adequada à idade, envolvente e despertar a magia, a curiosidade e o prazer de ler. Uma boa leitura restaura a dimensão humana e atua como organizadora da mente, nutrindo o espírito e agunçando [aguçando] a sensibilidade.",1
